"racquet_id","cleaned_description"
"RCBAB-BPDLR","Light weight with easy power and spin in a user-friendly package for dedicated beginners, early intermediates, and juniors. Updated NF2 Tech flax dampening in throat and head reduces harsh vibrations; FSI Power enhances energy transfer; HTR System stiffens the hoop for power. For improving players developing into aggressive ball strikers."
"RCBAB-BPDSLR",""
"RCBAB-BPD17R","107in² head with light weight and generous margin of error for beginners, early intermediates, and doubles veterans seeking big power and speed at net. Updated NF2 Tech flax dampening smooths vibrations; FSI Power boosts energy transfer; HTR System enhances power. Best for players wanting user-friendly speed and ultra-easy power."
"RCBAB-BPDW","Same specs and playability as the standard Pure Drive but with a Wimbledon-inspired cosmetic. Lightning-fast with easy access to power and spin; NF2 Tech flax dampening in the throat softens vibrations for a more comfortable feel. FSI Power enhances energy transfer; HTR System stiffens the hoop for power and stability on off-center contact."
"RCBAB-PS97SN","Thinnest beam and most compact head in the Pure Strike family for mindless accuracy on full cuts at impressive speed. Plusher feel off-center than previous generation with NF² Tech flax inserts in the shaft for vibration dampening. FSI Control tightens string spacing for precise trajectory; Control Frame Technology blends beam cross-sections for stability and excellent ball feedback. For experienced players wanting a speedy modern player's racquet with surgical targeting and great feel."
"RCBAB-PS97DN","Same as PS97SN (two-racquet pack): thinnest beam and most compact head in the Pure Strike line for surgical accuracy and great speed. Plusher feel off-center with NF² Tech dampening; FSI Control for precise trajectory; Control Frame Technology for stability and ball feedback. Great option for experienced players wanting speed and surgical targeting."
"RCBAB-PS9816","98in² head with 16x19 pattern for more spin potential than the 18x20 counterpart; 330 swingweight for stability and impressive power on full cuts. NF2-Tech flax dampening in shaft; Control Frame Technology for stability and ball feedback; FSI Control for tighter, more precise trajectory. For experienced players wanting stable, controllable power with great feel."
"RCBAB-PS9818","Dense 18x20 pattern and 332 swingweight deliver laser-like trajectory and excellent stability against heavy hitters. NF2-Tech flax dampening in shaft; Control Frame Technology for stability and ball feedback; FSI Control for precise string bed response. For experienced players wanting stability and surgical control."
"RCBAB-PS1019","Sub-325 swingweight for fast handling and spin potential on a 100in² head. FSI Control provides a very precise and predictable trajectory; NF2-Tech and SWX Pure Feel (viscoelastic rubber) maximize vibration dampening; Control Frame Technology for stability and ball feedback. Great for intermediate and advanced players wanting a speedy racquet with controllable power and great feel."
"RCBAB-PS1020","More control than the 100 16x19 with enough pop to close out points; sub-64 RA stiffness gives an arm-friendly feel with outstanding ball feedback and 320 swingweight for fast handling. Control Frame Technology for stability and ball feedback; NF2-Tech in handle and hoop for vibration dampening; FSI Control tightens string spacing for a controlled, predictable response."
"RCBAB-PSTE25","Lightest Pure Strike with user-friendly speed, spin-friendly precision, and great feel, ideal for rising intermediates. FSI Control features tighter string spacing for a precise trajectory; NF2-Tech flax dampening in shaft and SWX Pure Feel in head for comfort; Control Frame Technology for stability and ball feedback."
"RCBAB-BBOASR","102in² head is slightly more forgiving and powerful than a standard 100in² frame with a crisp, precise feel at impact. Very maneuverable for less advanced players; spin-friendly string pattern and powerful beam for easy pace and spin. Good for beginners, recreational players, and bargain hunters."
"RCBAB-BBOAPS","Same as BBOASR in a pink colorway: 102in² head for a forgiving, crisp feel; maneuverable for beginners; spin-friendly pattern and powerful beam for easy pace and spin. Great for beginners, recreational players, and bargain hunters."
"RCBAB-BEA26R","Light weight with open 16x19 pattern for easy spin; slightly larger-than-100in² hitting surface for a more forgiving, user-friendly experience. Aerodynamic beam for speed; strategically placed flax fibers and Air Touch Handle System dampen vibrations; Woofer system increases dwell time and energy return. Very low beam stiffness makes it one of the most arm-friendly racquets in its class. For intermediate players seeking high performance at a great price."
"RCBAB-BEALPR","Under 10oz strung for extreme maneuverability; aerodynamic beam; flax fibers and Air Touch Handle System dampen vibrations; Woofer system increases dwell time and energy return. Very low beam stiffness for arm-friendly comfort. Perfect for beginners and recreational players who want easy power and spin."
"RCBAB-BBSTDR",""
"RCBAB-BBDWR",""
"RCBAB-BEDR",""
"RCBAB-BEDLR",""
"RCBAB-BELWR",""
"RCBAB-EVOPS",""
"RCBAB-BBRWM",""
"RCBAB-BSTRRKT","10.6oz strung weight with 102in² head for a lively, crisp, and precise feel on full swings. Grippy 16x19 pattern for easy spin; Woofer grommet system adds comfort and power to the string bed; explosive acceleration from the baseline and solid, powerful feel at net and on serve. For strong beginners and intermediates seeking impressive all-around playability at a great price."
"RCWILSON-WB9816","Blade 98 16x19 v9: 21mm box beam with sub-330 swingweight for impressive speed with enough heft to absorb and redirect big-hitter pace. Pinpoint precision and outstanding feel with Direct Connect Technology for increased stability. New StableFeel layup adds slight firmness for greater stability and easier access to power; FortyFive layup enhances lateral flex for spin. For intermediate and advanced players wanting controllable power and outstanding feel."
"RCWILSON-WB18V","Blade 98 18x20 v9: dense 18x20 pattern and flexible box beam for laser-like targeting and phenomenal ball feedback. 330 swingweight for comfortable stability against heavy hitters. StableFeel adds slight firmness for greater stability and power; Direct Connect for handle stability; FortyFive for lateral flex. For experienced players wanting control and feel."
"RCWILSON-WB98SV","Blade 98S v9: unique 18x16 pattern for extra ball rotation and heavy spin, combined with the iconic 21mm box beam and flexible construction for classic Blade control and feel. StableFeel stiffens key locations for torsional stability and easier power; Direct Connect and FortyFive for stability and spin-friendly flex. For experienced players wanting a great-feeling racquet that brings the ball down sharply."
"RCWILSON-WB1009","Blade 100 v9: slightly more powerful and forgiving than the Blade 98 16x19 with impressive command; flexible 60-RA beam for arm-friendly comfort and outstanding ball feedback. Sub-325 swingweight for maneuverable speed; 16x19 for easy spin. StableFeel adds firmness for stability and power. For players wanting a maneuverable player's racquet with controllable power and great feel."
"RCWILSON-WB100L","Under 11oz strung for fast handling that helps rising intermediate players address the ball with confidence; precise feel of the Blade family in a lighter package. StableFeel adds slight firmness for stability and power; Direct Connect for handle stability; FortyFive for spin-friendly lateral flex. User-friendly entry point into the iconic Blade control and feel."
"RCWILSON-WB10UL","Lightest Blade for dedicated beginners and early intermediates: extremely maneuverable for easier pace and spin generation and quick reactions, with the iconic Blade precision. StableFeel adds slight firmness for stability and easier power; Direct Connect and FortyFive technologies included. Very user-friendly tool for learning the game."
"RCWILSON-WB104","Most forgiving and powerful Blade with 104in² head and extended 27.5"" length for easier power on groundstrokes and serves. Extremely maneuverable for an extended-length racquet; enough spin to bring the ball down on target. StableFeel for stability and power; Direct Connect and FortyFive technologies. For players wanting Blade precision and feel in a more forgiving and powerful package."
"RCWILSON-WRFPR","RF 01 Pro: slightly more forgiving head size, lighter weight, and thicker aerodynamic beam than the RF97 for a more explosive, modern feel. SABR design with Braid FORTYFIVE layup for enhanced dwell time, pocketing, and spin; foam throughout for a solid feel; reinforced shaft and yoke for torsional stability and less wobble on volleys."
"RCWILSON-WRF1R","RF 01: same frame geometry as the RF 01 Pro with arm-friendly 64-RA stiffness; approximately 11.2oz strung, ideal for intermediate players. SABR design with Braid FORTYFIVE layup for spin, dwell time, and pocketing; foam for solid feel; reinforced shaft and yoke for torsional stability. Quick handling with controllable power."
"RCWILSON-WRFFR","Lightest RF Collection member with arm-friendly stiffness and 98in² head for accurate, confidence-inspiring feel for beginners and early intermediates. SABR design with Braid FORTYFIVE layup for spin and pocketing; foam for solid feel; reinforced shaft and yoke for torsional stability. Great tool for mastering stroke mechanics."
"RCWILSON-WBPRO6","Blade Pro 16x19 v9: pro tour mold with surgical targeting and direct ball feedback that elite players crave. 335+ swingweight for plow-through to redirect big hitters and mass-based pop. Minimal technology between player and ball for a raw, connected feel."
"RCWILSON-WBPROV","Blade Pro 18x20 v9: pro tour mold with laser-like trajectory for swinging big and targeting lines. Direct ball feedback for advanced players; impressive stability and plow-through with outstanding touch. Not an ordinary racquet — ideal for serious collectors and advanced ball strikers."
"RCWILSON-WUPRO6","Ultra Pro 16x19 v4: 97in² head, 20.6mm beam, 16x19 pattern with buttery 62-RA for spin-friendly precision and a zippy intermediate-friendly swingweight. Great for hitting shots on the run or reacting at net; a solid customization platform for advanced players wanting more plow-through. Combines classic control and feel with modern speed and spin."
"RCWILSON-WUPRO8","Ultra Pro 18x20 v4: dense 18x20 pattern, 20.6mm beam, buttery 62-RA, and sub-320 swingweight for sublime feedback, raw precision, and a laser-like trajectory in a very user-friendly package. Combines traditional player's racquet feel and control with surprising speed. Great for intermediates seeking a control racquet or for advanced players as a customization platform."
"RCWILSON-W95V14","Pro Staff Six.One 95 v14: compact 95in² head and dense 18x20 pattern for maximum predictability and directional control. 325 swingweight for enough stability to absorb big-hitter pace. Paradigm Bending optimizes hoop/shaft flex for that classic Pro Staff feel. Great option for experienced players seeking extreme precision."
"RCWILSON-CL1P3V","Clash Pro V3: heaviest Clash model for more plow-through and power than lighter siblings; plush, buttery feel recapturing the comfort of the original 2019 version. SI3D layup increases horizontal bending for dwell time and control and maximizes vertical bending for spin; Hit Stabilizer for torsional stability and less wobble on off-center impact. Impressive control on full cuts; more arm-friendly than most."
"RCWILSON-CL103V","Clash 100 V3: sub-315 swingweight for explosive speed, great for scrambling and hitting on the run; spin-friendly targeting and ultra-quick net play. SI3D layup maximizes horizontal and vertical bending for dwell time, comfort, and spin; Hit Stabilizer reduces off-center wobble. Recaptures the plush, arm-friendly feel of the original Clash. For intermediate and advanced players wanting speed, spin, and comfort."
"RCWILSON-WC103R","Same specs as Clash 100 V3 in a red cosmetic. Sub-315 swingweight for explosive speed and quick handling; SI3D layup for dwell time, comfort, and spin; Hit Stabilizer for torsional stability. Arm-friendly, spin-friendly, and suitable for intermediate and advanced players."
"RCWILSON-CL1L3V","Clash 100L V3: softer than the previous generation, recapturing the feel of the original Clash; ideal for dedicated beginners and early intermediates. Remarkably fast for easy pace and spin generation; SI3D maximizes horizontal and vertical bending for dwell time, comfort, and spin while maintaining torsional rigidity. Ultra-easy learning curve with arm-friendly comfort."
"RCWILSON-WC1L3R","Same specs as Clash 100L V3 in a red cosmetic. Softest model in its class, recapturing original Clash feel; remarkably fast for less advanced players. SI3D for dwell time, comfort, and spin; maintains torsional rigidity for off-center stability. Arm-friendly with an ultra-easy learning curve."
"RCWILSON-CL183V",""
"RCWILSON-WC100V","Clash 100 v2: 11oz racquet combining explosive speed with spin-friendly targeting and enough power to close out points; easy for intermediates to scramble and hit shots on the run. FORTYFIVE (formerly FreeFlex) technology enables the frame to bend across a wider geometry of stroke paths including the vertical mechanics of the modern game. Slightly enlarged sweetspot; arm-friendly feel."
"RCWILSON-WC100P",""
"RCWILSON-WC108V",""
"RCWILSON-WPS97C","Pro Staff 97 Classic: 97in² head and 325 swingweight for surgical precision with a balanced speed-stability feel; aramid fibers for outstanding feel without losing connection to the ball. Paradigm Bending optimizes hoop/shaft flex for classic Pro Staff feel; FORTYFIVE technology increases lateral bending for dwell time and pocketing. For experienced players wanting a modern Pro Staff that honors its roots."
"RCWILSON-WPSTMC",""
"RCWILSON-WPS97L","Pro Staff 97L Classic: sub-315 swingweight brings the legendary Pro Staff formula to rising intermediate players in a lighter package. Paradigm Bending for classic Pro Staff feel; FORTYFIVE for lateral bending, dwell time, and pocketing; String Mapping for denser center control and wider edge comfort. Fast enough for spin and on-the-run shots while maintaining Pro Staff precision."
"RCWILSON-W97V14","Pro Staff 97 v14: 97in² head and 325 swingweight (updated) for surgical precision and enough mass to redirect big hitters. Aramid fibers deliver outstanding feel without losing ball connection; Paradigm Bending for classic Pro Staff feel; FORTYFIVE for lateral flex and pocketing; String Mapping for center control and edge comfort. For experienced players wanting a modern Pro Staff with classic precision."
"RCWILSON-W97VX","Pro Staff X v14: slightly more forgiving head size than the PS97 with a lower swingweight for easier handling; 11.7oz for enough mass for advanced ball strikers. Paradigm Bending for classic Pro Staff feel; FORTYFIVE for dwell time and pocketing; String Mapping for center control and edge comfort. Intermediate and advanced players wanting speedy player's racquet with controllable power and great feel."
"RCWILSON-WPS614","Pro Staff Six.One 100 v14: open 16x19 pattern for spin potential; enough mass to redirect higher levels of pace while moving fast. Paradigm Bending for classic Pro Staff feel; FORTYFIVE for lateral bending. Good for intermediate and advanced players wanting a versatile player's racquet with controllable power and great feel."
"RCWILSON-WU99P5","Ultra 99 Pro: stiff tapered beam for crisp and powerful response; 16x18 pattern for heavy spin-loaded shots; 330 swingweight for stability and knock-out power for those who can leverage its mass. SI3D layup for enhanced pocketing and spin; inner hoop power grooves for greater shock absorption and energy transfer. For experienced players wanting power, spin, and plow-through."
"RCWILSON-WU1005","Ultra 100 v5: explosive speed combining speed with easy power and spin; slightly more flexible beam than the outgoing model while retaining crisp feel. Updated FORTYFIVE layup for greater vertical flex and spin; Crush Zone Grommets for dwell time and comfort; full carbon handle for torsional stability. For intermediate and advanced players."
"RCWILSON-WU1V5DV","Same specs as Ultra 100 v5 in a Desert Vibes cosmetic. Slightly more flexible beam than v4; explosive speed with easy power and spin; updated FORTYFIVE for spin; Crush Zone Grommets for comfort; full carbon handle for stability."
"RCWILSON-WUTEV5","Pre-strung Ultra Team v5: fast and easy to swing for rising intermediates; grippy Spin Effect-style open string pattern for spin-loaded shots; Crush Zone Grommets for comfort and dwell time; full carbon handle for stability. Budget-friendly entry into aggressive tennis."
"RCWILSON-WU10L5","Ultra 100L v5: takes the spin and power of the standard Ultra 100 and puts it into a lighter, faster package for rising intermediates. Updated FORTYFIVE for greater vertical flex and spin; Crush Zone Grommets for dwell time and comfort; full carbon handle for torsional stability."
"RCWILSON-WU1UL5","Ultra 100UL v5: light weight and user-friendly maneuverability for mastering groundstrokes and volleys; updated FORTYFIVE for spin; Crush Zone Grommets for comfort and dwell time; full carbon handle for stability. For dedicated beginners and early intermediates."
"RCWILSON-WU1115","Ultra 111 v5: 111in² head for arm-friendly comfort and a more forgiving contact zone; slightly extended length for easy serve power; 16x18 pattern for spin. FORTYFIVE for vertical flex and spin; Crush Zone Grommets for comfort; full carbon handle for torsional stability. For those prioritizing power and comfort."
"RCWILSON-WSP315","Shift Pro: 99in² head with 18x20 pattern for surgical precision and impressive spin potential for a tight pattern; beefy swingweight for stability and mass-based pop for those who can leverage it. Torsionally stiff for stability and power when driving the ball; laterally flexible for dwell time on vertical mechanics. Comfortable feel with great ball feedback."
"RCWILSON-WSHIFUS","Shift 99 US Open edition with same specs as standard Shift 99: combines raw speed with spin-friendly precision and great feel. Torsionally stiff for stability and power when driving the ball; laterally flexible for dwell time on vertical mechanics. Zippy swingweight for shots on the run and quick net play."
"RCWILSON-WSP300","Shift 99: raw speed with spin-friendly precision and great feel; torsionally stiff for stability and power when driving the ball, laterally flexible for dwell time on vertical mechanics. Zippy swingweight for shots on the run and quick net play. For intermediate and advanced players wanting a versatile modern player's racquet that doesn't skimp on feel."
"RCWILSON-WS99RG","Same specs as standard Shift 99 in a French Open dark blue cosmetic. Raw speed with spin-friendly precision and great feel; torsionally stiff for stability, laterally flexible for spin and dwell time. Zippy swingweight for shots on the run and quick reactions at net."
"RCWILSON-WSP285","Shift 99L: sub-315 swingweight for increased reaction time and easier spin; benefits from the same racquet engineering that facilitates explosive, spin-friendly mechanics of the modern game. 16x20 string pattern for added confidence when targeting the lines. A user-friendly entry point into the Shift family for rising intermediate players."
"RCWILSON-WB1SV6","Burn 100S v6: 18x16 Spin Effect pattern for a tight grip on the ball and easier spin access; firm Carbon Fiber Graphite for a crisp and powerful response; Parallel Drilling for vibration absorption and greater energy transfer. Powerful and spin-friendly weapon for aggressive intermediate and advanced players."
"RCWILSON-BRNLS6","Burn 100LS v6: Spin Effect pattern for spin-loaded shots that drop hard; firm Carbon Fiber Graphite for a crisp and powerful response; Parallel Drilling for vibration absorption and energy transfer. For rising intermediates wanting explosive speed and spin-friendly targeting."
"RCWILSON-BRNSV5","Burn 100S v5: 18x16 Spin Effect pattern for easy spin; firm Carbon Fiber Graphite for a crisp and powerful feel; Parallel Drilling for vibration absorption and greater energy transfer. Powerful and spin-friendly weapon for intermediate and advanced aggressive players at a great price."
"RCWILSON-WTRI3","Ultra-low stiffness with Triad Technology for one of the industry's best vibration-reduction systems; arm-friendly. 113in² head for a forgiving margin of error; extended 27.5"" length for extra power and spin. Power Holes enable the string bed to absorb vibration and transfer more power. Head-heavy balance gives outstanding baseline stability and comfort; big power on serves. For players prioritizing comfort and power."
"RCWILSON-53OS","Pre-strung. Light and maneuverable with a slight head-heavy balance; 27.5"" length for extra leverage and reach. Powerful on serve with plenty of forgiveness at net; not as top-heavy as most Hammer models. For beginner and intermediate players, especially doubles players who want serve power."
"RCHEAD-HSPDT6","Speed Tour 2026: most surgical head size in Speed family history for maximum control on full cuts; 325 swingweight for stability without sluggishness. Sub-64 RA for great ball feedback; Hy-Bor boron fibers in shaft for stable, connected feel; Auxetic 2 in yoke and handle for feel and response; Graphene Inside for power and stability. For aggressive players wanting added control."
"RCHEAD-HSPMP6","Speed MP 2026: 60 RA for buttery feedback; 16x19 for slightly easier spin than the Pro; 325+ swingweight for stability and power potential. Hy-Bor boron fibers in shaft for stable, connected feel; Auxetic 2 for feel and response; Graphene Inside for power and stability. For intermediate and advanced players wanting controllable power and great feel."
"RCHEAD-HSPDP6","Speed Pro 2026: 18x20 pattern for laser-like trajectory and exceptional command; buttery 61 RA with outstanding sound at impact. Hy-Bor boron fibers in shaft for stable, connected feel; Auxetic 2 for optimized feel and response; Graphene Inside for power and stability. Enhanced feel and sound while preserving the Pro's control. For players who like driving the ball through the court."
"RCHEAD-HSPTM6","Speed Team 2026: 105in² head for maximum forgiveness and power in the Speed family; extended 27.4"" length for easier power on serves and groundstrokes; open 16x19 pattern for easy spin. Sub-64 RA for arm-friendly feel; Hy-Bor boron fibers in shaft for stable, connected feel; Auxetic 2 for response. For beginner and intermediate players wanting a forgiving option with easy learning curve."
"RCHEAD-HSMPL6","Speed MP L 2026: user-friendly weight for improving intermediate players to perfect mechanics; 16x19 pattern; buttery 61-RA beam for arm-friendly comfort. Hy-Bor boron fibers in shaft for a stable, connected feel; Auxetic 2 for feel and response; Graphene Inside for power and stability."
"RCHEAD-HSMPUL","Speed MP UL 2026: ultra maneuverable weight for dedicated beginners and early intermediates; 16x19 pattern; buttery 61-RA for arm-friendly comfort. Hy-Bor boron fibers in shaft for stable, connected feel; Auxetic 2 for feel and response; Graphene Inside for power and stability. Great entry point into the Speed franchise."
"RCHEAD-HSPELT",""
"RCHEAD-HSPPL5","Speed Pro Legend 2025: same mold as standard Speed Pro; 18x20 for laser-like trajectory and exceptional command; buttery 61 RA for plush feel and outstanding sound. Hy-Bor boron fibers in shaft for stable, connected feel; Auxetic 2 for feel and response; Graphene Inside for power and stability. For players who like driving the ball with confidence."
"RCHEAD-HSMPL5","Speed MP Legend 2025: same mold as standard Speed MP with a stealth black cosmetic; 60 RA for buttery feedback; 16x19 for slightly easier spin; 325+ swingweight for stability. Hy-Bor boron fibers for stable, connected feel; Auxetic 2 for feel and response; Graphene Inside for power and stability. For intermediate and advanced players wanting controllable power and great feel."
"RCHEAD-HSPDP",""
"RCHEAD-HSPDM","Speed MP 2024: slightly more flexible and arm-friendly stiffness than the Pro; 16x19 for easier spin and slightly higher launch angle; 325+ swingweight for solid, powerful groundstrokes and volleys. Auxetic 2 in yoke and handle for optimized feel and response; Graphene Inside for stability and power. For intermediate and advanced players wanting controllable power and great feel."
"RCHEAD-HSPDML","Speed MP L 2024: 10.5oz strung for user-friendly improvement; 60-RA arm-friendly stiffness; sub-320 swingweight for easy acceleration; 16x19 for spin. Auxetic 2 in yoke and handle for feel and response; Graphene Inside for stability and power. Entry point into Speed MP's controllable power and great feel."
"RCHEAD-HSPDTM","Speed Team 2024: 105in² head in a 10oz frame for rising intermediates; very low swingweight for easy acceleration and quick net handling; open 16x19 pattern with large spin window. Very arm-friendly 61-RA stiffness; slightly extended length for extra momentum. Auxetic 2 for feel; Graphene Inside for power and stability."
"RCHEAD-GXSS","Graphene XT Speed S: near even balance with enough head weight for stability and comfort against moderate pace; fast and precise from the baseline with plenty of pop; fast enough for rapid volleys and stable for its weight class. Graphene XT redistributes weight for smoother acceleration; Dynamic String Pattern features tighter center spacing for control and wider edges for forgiveness. For intermediates wanting solid all-court performance."
"RCHEAD-HBOOP6","Boom Pro 2026: heaviest and most surgical Boom model; stable and powerful with the precision to hit targets with pace. Sub-64 RA for arm-friendly feel with excellent ball feedback; unique head shape for a more forgiving upper hoop contact zone. Hy-Bor boron fibers for stable, connected feel; Auxetic 2 for vibration reduction; Graphene Inside for stability and power."
"RCHEAD-HBOMP6","Boom MP 2026: user-friendly speed with a plush, spin-friendly response; unique forgiving head shape in the upper hoop; extremely fast on groundstrokes and at net for reaction volleys. Flexible and arm-friendly beam; Hy-Bor boron fibers for stable, connected feel; Auxetic 2 for vibration reduction; Graphene Inside for stability and power. One of the most comfortable and user-friendly options in its class."
"RCHEAD-HBOMPA","Same specs as Boom MP 2026 in a purple cosmetic. User-friendly speed with plush, spin-friendly response; unique forgiving head shape; fast on groundstrokes and net play. Hy-Bor boron fibers for stable, connected feel; Auxetic 2 for vibration reduction; Graphene Inside for stability and power. Arm-friendly and comfortable."
"RCHEAD-HBMPL6","Boom MP L 2026: lighter, faster version of the Boom MP for rising intermediate players who prioritize maneuverability and comfort. Unique head shape for a more generous contact zone; sub-64 RA for arm-friendly feel; extremely fast from the baseline for spin and on-the-run shots. Hy-Bor boron fibers for stable, connected feel; Auxetic 2 for response; Graphene Inside for stability and power."
"RCHEAD-BMPLA6","Same specs as Boom MP L 2026 in a purple cosmetic. Lighter, faster version of Boom MP for rising intermediates; unique forgiving head shape; sub-64 RA arm-friendly comfort; extremely fast for spin and on-the-run shots. Hy-Bor for stable feel; Auxetic 2 for response; Graphene Inside for stability and power."
"RCHEAD-HBOT26","Boom Team 2026: 107in² head with extended 27.4"" length and arm-friendly beam stiffness; under 10oz for beginners and early intermediates; sub-315 swingweight for maneuverability. Easy depth and pace on groundstrokes with spin to bring the ball down; delivers power on serve. Hy-Bor boron fibers for stable feel; Auxetic 2 for response; Graphene Inside for stability and power."
"RCHEAD-HBMTAL","Same specs as Boom Team 2026 in a purple cosmetic. 107in² head, extended 27.4"" length, arm-friendly stiffness; under 10oz; sub-315 swingweight. Easy power and spin with Hy-Bor for stable feel; Auxetic 2; Graphene Inside. For beginners and early intermediates wanting a light, forgiving, powerful option."
