racquet_id,distilled_description
BPDW26,"Same specs and playability as standard Pure Drive: easy power, aggressive learning curve, quick handling at net, strong serve capability. NF2 Tech dampening with flax fibers reduces vibration; HTR System stiffening boosts power and off-center stability. Softer and more comfortable than previous versions."
PD98R,"Compact, stiff-beamed racquet balancing controllable power with precision via tighter 16x20 string pattern. Updated NF2 Tech with flax fibers dampens harsh vibrations; HTR System enhances power and off-center stability. Delivers speed, power, spin, and control for players loading bigger swings."
PD98D,"Compact, stiff-beamed racquet balancing controllable power with precision via tighter 16x20 string pattern. Updated NF2 Tech with flax fibers dampens harsh vibrations; HTR System enhances power and off-center stability. Delivers speed, power, spin, and control for players loading bigger swings."
BPDP25,"Extended-length, powerful, stiff-beamed racquet with open string pattern generating heavy pace and overwhelming spin. Extra leverage on groundstrokes and serves; surprisingly quick at net despite length. NF2 Tech 2.0 dampening reduces vibration; HTR System stiffening enhances power and stability. Formidable all-court weapon for aggressive players."
BRPTR,"Light (10.6 oz) and user-friendly with easy power and spin targeting for less advanced players, though less stable than standard Pure Drive. Stiff beam with NF2 Tech dampening via flax fibers; HTR System stiffening boosts power. Ideal for rising intermediates seeking explosive pace and spin precision."
BPDLR,"Light, maneuverable entry point bringing easy power and spin of standard Pure Drive in user-friendly package for beginners and early intermediates. Stiff beam with NF2 Tech dampening via flax fibers; HTR System stiffening enhances power. Confidence-building on every stroke for rising aggressive ball strikers."
BPDSLR,"Lightest and fastest Pure Drive variant offering raw speed, easy power, and spin-friendly precision for beginners and juniors. Stiff beam with NF2 Tech dampening via flax fibers; HTR System stiffening enhances power. Perfect entry point into aggressive playing style."
BPD17R,"Large, forgiving, light-weight racquet delivering effortless power with generous margin of error for beginners, early intermediates, and aging doubles players. Stiff beam with NF2 Tech dampening via flax fibers; HTR System stiffening boosts power. User-friendly speed and ultra-easy power access on serves and net play."
PS97SN,"Ultra-compact head with thinnest beam in the Pure Strike family delivers surgical accuracy on full cuts. Moves fast for its weight, great for spin and quick reactions at net with plusher off-center feel. Stable, predictable trajectory with excellent feedback; best for experienced players seeking speed and control."
PS97DN,"Ultra-compact head with thinnest beam in the Pure Strike family delivers surgical accuracy on full cuts. Moves fast for its weight, great for spin and quick reactions at net with plusher off-center feel. Stable, predictable trajectory with excellent feedback; best for experienced players seeking speed and control."
PS9816,"Open 16x19 pattern offers more spin potential and shot versatility than 18x20 counterpart. 330 swingweight provides stability and impressive power on full cuts with controllable feel. Direct ball feedback paired with precise, predictable trajectory; ideal for experienced players."
PS9818,"Dense 18x20 string pattern delivers laser-like trajectory and surgical control through the court. 332 swingweight provides excellent stability against heavy hitters with mass-based power for strong players. Direct ball feedback with stable, predictable hitting experience; perfect for experienced players seeking maximum control."
PS1019,"Sub-325 swingweight moves fast with ample spin potential and controllable power. Precise, predictable trajectory with plush feel from flax fibers and viscoelastic dampening. Stable hitting experience with excellent feedback; suits intermediate to advanced players."
PS1020,320 swingweight delivers quick handling and easy targeting with controllable power and pop. Sub-64 RA stiffness provides arm-friendly feel with outstanding ball feedback and predictable trajectory. Fast and maneuverable with great stability; perfect for intermediate to advanced players seeking speed and control.
PSTE25,Lightest Pure Strike family member combines user-friendly speed with spin-friendly precision and great feel. Stable hitting experience with excellent feedback and predictable trajectory. Perfect all-court weapon for improving intermediate players seeking entry into controllable power.
BBOWIM,"Generous 105in² head provides margin of error with high power and comfort. Open 16x19 pattern and light weight enable easy acceleration, spin, and user-friendly volleying. Firm, aerodynamic beam delivers speedy, powerful ride; ideal for beginners and recreational players."
BBOASR,"102in² head balances forgiveness with wonderful crisp, precise feel at impact. Very maneuverable for less advanced players with spin-friendly pattern and powerful beam construction. Easy power and spin combination; perfect for beginners and recreational players."
BBOAPS,"102in² head balances forgiveness with wonderful crisp, precise feel at impact. Very maneuverable for less advanced players with spin-friendly pattern and powerful beam construction. Easy power and spin combination; perfect for beginners and recreational players."
BEA26R,"Delivers spin, precision, and power with a light weight and open 16x19 string pattern suited for intermediate players. Forgiving slightly-oversized head with aerodynamic beam and low stiffness for arm-friendly play. Flax fibers and Air Touch Handle dampen vibrations while Woofer grommets enhance energy return."
BEALPR,Ultra-maneuverable sub-10 ounce frame designed for beginners and recreational players seeking spin and power generation. Low beam stiffness and flax fibers with Air Touch Handle provide arm-friendly comfort while Woofer grommets optimize energy return.
BBSTDR,"Delivers easy power and spin for beginners and rising juniors with ultra-maneuverable weight and generous 105 sq in head. Firm aerodynamic beam provides crisp precision, while grippy 16x19 pattern and Woofer system offer explosive acceleration and comfortable margin of error."
BBDWR,"Same specs as standard Boost Drive with identical easy power and spin performance. Ultra-maneuverable at 105 sq in with firm aerodynamic beam for crisp precision, grippy 16x19 string pattern for explosive topspin acceleration, and Woofer system for comfort and power."
BEDR,User-friendly power and spin combination for early intermediates and recreational players with firm Elliptic Beam. Very spin-friendly with vibration dampening and Woofer system optimizing frame-string interaction for ease of use.
BEDLR,"Lighter and faster than standard EVO Drive, ideal for beginners and early intermediates with powerful 104 sq in head and ultra-open string pattern for spin mastery. Firm Elliptic Beam transfers power while maintaining frame stability, with Woofer system for optimized playability."
BELWR,"Lighter and faster than standard EVO Drive, ideal for beginners and early intermediates with powerful 104 sq in head and ultra-open string pattern for spin mastery. Firm Elliptic Beam transfers power while maintaining frame stability, with Woofer system for optimized playability."
EVOPS,"Maneuverable beginner-to-intermediate frame with 102 sq in head delivering speed, precision, and comfort. Hybrid Control Frame Technology blends square beam control with elliptical beam speed; EVO Feel material increases shock absorption for confident baseline accuracy and stability at net."
BSTRRKT,"Light 10.6 oz racquet at 102 sq in with grippy 16x19 pattern delivering explosive spin acceleration and crisp, precise feel on full swings. Fast and powerful baseline play with solid feel at net; Woofer system adds comfort and power for bargain hunters seeking all-around playability."
WB9810,"98 sq in with 16x19 string pattern and sub-64 RA delivering spin, precision, and exceptional feel for intermediate-to-advanced players. Fast sub-325 swingweight enables quick reactions; new tapered beam boosts power while preserving control. StableFeel+ technology stiffens horizontal flex for enhanced stability on off-center hits."
WB9818,"Surgical control-oriented racquet with crisp, stable feel and outstanding feedback from its dense 18x20 pattern and tapered beam design. Offers easier power while maintaining precision targeting, with sub-64 RA stiffness and mid-320s swingweight. Best for intermediate and advanced players seeking refined control without sacrificing stability or mass-based power."
WB100P,"Crisp, stable, and lively racquet featuring the thickest, firmest beam in the Blade family with a 16x20 string pattern. Delivers explosive acceleration and quick handling through sub-320 swingweight and extended length, with more linear ball trajectory. Ideal for players seeking speedy performance with crisp feel and controllable power."
WB1001,"Fast, spin-friendly racquet with flexible beam construction offering arm-friendly comfort and exceptional ball feedback. Delivers impressive command over the ball with easy targeting and quick maneuverability at net. Perfect for intermediate and advanced players wanting modern speed and spin potential without a harsh feel."
WB104V,"Extended-length racquet (27.5"") offering the most forgiveness and power in the Blade family through its generous 104 sq in head. Combines impressive spin potential and maneuverability despite extended length via sub-320 swingweight. Suits players seeking easy power on serves and groundstrokes with quick court mobility."
WB10L1,"User-friendly, speedy racquet designed for rising intermediate players with a 16x19 spin-friendly string pattern. Emphasizes quick acceleration and confident ball addressing through lightweight design. Combines speed, spin potential, and great feel for players building confidence and stroke mechanics."
WB1UL1,Lightest member of the Blade family featuring a wonderfully plush feel at impact and sub-310 swingweight for easy acceleration. Spin-friendly string pattern combines with quick handling and accessible maneuverability. Ideal for beginners and early intermediate players seeking user-friendly feel and learning curve.
WB9816,"Precise, stable racquet with outstanding feel from its classic 21mm box beam and 16x19 string pattern, offering pinpoint control and exceptional ball feedback. Sub-330 swingweight delivers impressive speed while maintaining enough mass to redirect heavy pace. Best for intermediate and advanced players seeking controllable power with crisp precision."
WB18V,Control-focused racquet with phenomenal ball feedback and laser-like targeting through its dense 18x20 string pattern and flexible box beam. 330 swingweight provides mass to redirect pace and drive through the court. Designed for experienced players prioritizing feel and precision over power.
WB98SV,"Spin machine featuring a unique 18x16 string pattern engineered to snap the ball with extra rotation, paired with flexible 21mm box beam construction. Delivers iconic Blade control and outstanding feel with lateral flexibility for easy spin generation. Ideal for experienced players seeking heavy spin capability with refined feel."
WB1009,Flexible 60-RA beam delivers arm-friendly comfort and outstanding ball feedback with impressive command over the ball. 16x19 string pattern enables easy spin combined with sub-325 swingweight for quick maneuverability and court reactivity. Suits players wanting a maneuverable racquet with controllable power and great feel.
WB100L,"Lightweight and fast-swinging at under 11oz, offering easy spin generation and good control for rising intermediate players. StableFeel technology provides a slightly firmer feel for increased stability and power access, while FortyFive layup enhances lateral flexibility for modern aggressive play."
WB10UL,"The lightest Blade designed for beginners and early intermediates, extremely maneuverable with quick handling for confidence and fast reactions. Combines Blade's iconic control and precision with easier pace and spin generation through StableFeel technology and FortyFive layup flexibility."
WB104,"Extended-length racquet (27.5"") with generous 104 sq in head offering maximum forgiveness and power, especially on serves and groundstrokes. Extremely maneuverable for an extended frame with good spin potential; StableFeel technology adds stability and easier power access for defensive play and net reactions."
WRFPR,"Modern, explosive all-court weapon with slightly more forgiving head than RF97, lighter weight, and thicker aerodynamic beam. Braid FORTYFIVE technology enhances spin and dwell time; foam throughout delivers solid feel with reinforced shaft and yoke for torsional stability on volleys."
WRF1R,Intermediate-friendly at 11.2oz combining quick handling with controllable power and spin-friendly precision. Arm-friendly 64-RA stiffness with solid feel from foam construction and reinforced shaft/yoke for torsional stability through impact.
WRFFR,"Lightest RF model (98 sq in head) designed for beginners and early intermediates with quick, easy-to-swing handling and arm-friendly stiffness. Delivers solid feel through foam construction with reinforced stability for confident strokes and reduced racquet twisting on volleys."
WB98P1,Pro tour racquet with high ~340 swingweight delivering rock-solid feel on groundstrokes and volleys with impressive power for experienced players. Buttery 61-RA stiffness provides outstanding feel and feedback; 16x19 pattern offers slightly higher launch angle for easier depth and sharp spin.
WB98P8,Classic pro tour racquet combining surgical control with laser-like trajectory and impressive plow-through for experienced players. High swingweight and rock-solid 60-RA stiffness deliver impressive pop and stability; direct feel enables touch and drop-shot precision.
WBPRO6,"Pro tour 16x19 with 335+ swingweight delivering surgical targeting and direct ball feedback through minimized technology. Provides plow-through power for redirecting pace and heavy, spin-loaded hitting for advanced players seeking precision and feel."
WBPROV,Pro tour 18x20 delivering laser-like trajectory and direct ball feedback for advanced players seeking precision feel. High swingweight provides impressive stability and plow-through power; minimized technology enables touch for drop shots and line targeting.
WUPRO6,Control-oriented 97in² head with open 16x19 pattern delivers spin-friendly precision and targeting. Buttery 62-RA feel with zippy swingweight suits intermediates and advanced players seeking quick reactions and customization potential. Balances classic control with modern speed and spin.
WUPRO8,Dense 18x20 pattern with thin 20.6mm beam and buttery 62-RA provides sublime feedback and raw precision. Sub-320 swingweight delivers surgical control and maneuverability with seductive combination of feel and speed. Accessible for intermediates or customization platform for advanced players.
WU99P5,"Stiff, tapered beam with 330 swingweight delivers power, stability, and plow-through for experienced players. Open 16x18 pattern enables heavy, spin-loaded shots with enhanced pocketing via SI3D layup and inner hoop power grooves. Built for overwhelming opponents with power and spin."
WCBAR,"Uniquely flexible beam with sub-315 swingweight pairs arm-friendly comfort with spin-friendly targeting and ultra-quick handling. SI3D and Hit Stabilizer technology increase dwell time, pocketing, and torsional stability. Intermediate and advanced players seeking explosive speed and comfort will excel."
CL1P3V,"Plush, buttery feel with controllable power and excellent plow-through for redirecting pace and driving through court. SI3D and Hit Stabilizer technologies deliver comfort with dwell time, pocketing, and torsional stability. Heavier than lighter Clash models, suits aggressive all-court play with outstanding touch."
CL103V,"Uniquely flexible beam with sub-315 swingweight pairs arm-friendly comfort with spin-friendly targeting and ultra-quick handling. SI3D and Hit Stabilizer technology increase dwell time, pocketing, and torsional stability for easier power access. Intermediate and advanced players seeking explosive speed and comfort will excel."
WC1RG6,"Uniquely flexible beam with sub-315 swingweight pairs arm-friendly comfort with spin-friendly targeting and ultra-quick handling. SI3D and Hit Stabilizer technology increase dwell time, pocketing, and torsional stability for easier power access. Intermediate and advanced players seeking explosive speed and comfort will excel."
CL1L3V,Softest member of Clash class designed for arm-friendly comfort ideal for beginners and early intermediates. Remarkably fast with maximized horizontal and vertical bending for easy power and spin generation. Ultra-easy learning curve with outstanding feel for improving players.
WC1L3R,Softest member of Clash class designed for arm-friendly comfort ideal for beginners and early intermediates. Remarkably fast with maximized horizontal and vertical bending for easy power and spin generation. Ultra-easy learning curve with outstanding feel for improving players.
CL183V,"Oversize 108 head at 10.4oz delivers most forgiving and powerful Clash experience with outstanding feel. Extended 27.25"" length aids power generation on serves and groundstrokes. SI3D and Hit Stabilizer technologies provide comfort, pocketing, and torsional stability for intermediates and beginners seeking easy power."
WC108V,"Flexible frame with crisp, connected feel and outstanding feel that softens impact without sacrificing control. Larger 108 sq in head at 10.4 oz strung provides stability and extra pop, with extended length for serves. Ideal for intermediate players, doubles specialists, and dedicated beginners seeking forgiving oversize racquet with high control."
PS14SS,97 sq in mid-weight (320s swingweight) combines surgical precision with decent stability and plow-through. Comfortably dampened feel with aramid fibers delivers connection to ball without sacrificing dampening. FORTYFIVE and Paradigm Bending technologies increase dwell time and pocketing for greater command. Designed for experienced players seeking modern Pro Staff feel with classic roots.
WPS97C,97 sq in mid-weight (320s swingweight) combines surgical precision with balanced speed and stability. Comfortably dampened feel with aramid fibers delivers connection without sacrificing dampening. FORTYFIVE and Paradigm Bending technologies increase dwell time and pocketing for command over the ball. Built for experienced players wanting modern Pro Staff performance with classic heritage.
WPSTMC,Speedy sub-11 oz frame designed for controllable power with great feel. Fast swingweight enables easy spin-loading at baseline and quick reactions at net. Serves powerfully with user-friendly blend of pop and precision. Perfect for rising intermediate players and value-conscious players seeking excellent performance at attractive price.
WPS97L,"Sub-11 oz, zippy sub-315 swingweight for faster swings, shot-making on the run, and quick net reactions. Comfortably dampened with aramid fibers delivering connection while maintaining feel. FORTYFIVE and Paradigm Bending technologies optimize flex for increased dwell time and command. Ideal for rising intermediate players seeking Pro Staff precision in a lighter package."
WPS614,"16x19 open string pattern delivers controllable power with great feel for intermediate and advanced players. Fast-swinging frame has enough mass to redirect higher pace. FORTYFIVE and Paradigm Bending technologies optimize flex for refined feel. Versatile player's racquet balancing speed, power, and command."
WU1005,"Speedy player's racquet combining explosive speed with easy access to power and spin. Slightly more flexible beam retains crisp feel and powerful response. FORTYFIVE technology enables greater vertical flex for spin potential and pocketing. Crush Zone Grommets enhance comfort, full carbon handle increases torsional stability. Ideal for intermediate and advanced players."
WU1RG6,"Speedy player's racquet with same specs as Ultra 100 v5, defined by easy baseline acceleration and quick net handling. FORTYFIVE technology optimizes spin potential and pocketing. Crush Zone Grommets enhance comfort; full carbon handle increases torsional stability. Perfect for intermediate and advanced players seeking easy access to power and spin."
WUTEV5,"Fast-swinging, user-friendly frame for rising intermediate players seeking power and spin at budget-friendly price. Easy to load with pace and spin at baseline; effective for net volleys and put-aways. FORTYFIVE technology enables vertical flex for spin and pocketing. Crush Zone Grommets enhance comfort; full carbon handle increases torsional stability."
WU10L5,"Lighter, faster version of Ultra 100 with more arm-friendly feel for 2025. Easier for intermediate players to confidently hit targets while accessing spin and power. FORTYFIVE technology enables vertical flex for spin potential and pocketing. Crush Zone Grommets enhance comfort; full carbon handle increases torsional stability. Ideal for players seeking easy access to power and spin."
WU1UL5,"Light, maneuverable racquet designed for beginners and early intermediates seeking easy power and spin. Updated for 2025 with a softer feel and enhanced comfort through Crush Zone Grommets. FORTYFIVE layup technology provides increased spin potential and vertical flex. Full carbon handle delivers torsional stability on off-center hits."
WU1115,"Forgiving 111-square-inch head racquet offering arm-friendly comfort with easy power and spin. Extended length aids serve power, while 16x18 string pattern generates plenty of spin. FORTYFIVE layup technology and Crush Zone Grommets enhance dwell time and comfort. Full carbon handle provides torsional stability for a lightning-fast, stable feel."
WSP315,"Compact 99 square-inch racquet with substantial weight delivering precision and controllable power at higher pace levels. Tight 18x20 string pattern offers impressive spin potential despite its density, with engineered graphite fibers optimizing explosive vertical mechanics. Torsionally stiff design enhances stability and power; laterally flexible for increased dwell time on spin shots. Provides excellent ball feedback and comfortable feel."
WSP300,"Versatile 99 square-inch player's racquet combining raw speed with spin-friendly precision and great feel for intermediate to advanced players. Zippy swingweight excels on-the-run and at net. Engineered graphite fibers bend to complement modern vertical mechanics, maximizing spin and pocketing. Torsionally stiff for stability and power; laterally flexible for increased dwell time on spin."
WSP285,"Lighter, faster entry point to the Shift series for rising intermediate players, with sub-315 swingweight enabling explosive spin generation and quick net reactions. 16x20 string pattern offers control and targeting confidence. Engineered to bend in ways that facilitate spin-friendly, explosive modern mechanics."
WB1SV6,"Spin-focused racquet for intermediate to advanced players featuring 18x16 Spin Effect string pattern for tight grip on ball and easy spin access. Firm Carbon Fiber Graphite delivers crisp, powerful response. Parallel Drilling absorbs vibration and transfers greater energy. Designed for aggressive players seeking power and spin combination."
BRNLS6,"Lightweight spin machine for rising intermediate players combining explosive speed with easy spin and precision. Grippy Spin Effect string pattern generates spin-loaded shots with hard drop and high court bounce. Firm Carbon Fiber Graphite delivers crisp, powerful response. Parallel Drilling enhances vibration absorption and energy transfer for attacking play."
BRNP15,"Forgiving 105 square-inch racquet for beginners and early intermediates prioritizing power, plow-through, and heavy spin. High swingweight generates massive power on full swings. 18x16 Spin Effect string pattern ranks among Wilson's most spin-friendly options. Firm Carbon Fiber Graphite delivers crisp, powerful response with Parallel Drilling for enhanced energy transfer."
BRNSV5,"Spin-focused racquet for intermediate to advanced players featuring 18x16 Spin Effect string pattern for tight grip and easy spin access. Firm Carbon Fiber Graphite delivers crisp, powerful response. Parallel Drilling absorbs vibration and transfers greater energy. Powerful, spin-friendly weapon designed for aggressive players."
WTRI3,"Ultra arm-friendly racquet for beginners and intermediates combining exceptional comfort with power through ultra-low stiffness and Triad Technology for vibration reduction. Large 113 square-inch head and extended 27.5"" length provide margin of error, stability, and serve power. Power Holes enhance vibration absorption and power transfer. Head-heavy balance delivers baseline stability and comfort with generous net platform."
WTRI5,"Ultra-comfortable, arm-friendly midplus with exceptional forgiveness and controllable power. Delivers crisp, solid feel at net with excellent spin potential; extended length (27.25"") and head-heavy balance provide serve power and baseline momentum. Suits beginners through intermediate/senior doubles players."
53OS,"Light, maneuverable oversize with slight head-heavy balance offering good leverage on serve without sacrificing quick court coverage. Delivers forgiveness and pop at net with plenty of power. Best for beginner and intermediate players, particularly doubles specialists."
HSPDT6,"Surgical small head (smallest in Speed family) prioritizes control and precision over forgiveness, with 325 swingweight providing stability without sluggishness. Sub-64 RA stiffness delivers excellent ball feedback with crisp, connected feel through impact. Designed for aggressive players who want finesse control and big spin."
HSPMP6,"Buttery, comfortable midplus with 60 RA delivering smooth, plush feedback for advanced strikers. 16x19 string pattern enables easy spin; 325+ swingweight maintains stability against pace. Offers controllable power with excellent feel for intermediate and advanced players."
HSPDP6,"Control-oriented with stable, plush 61 RA feel and outstanding sound at impact. 18x20 string pattern produces laser-like trajectory and exceptional command; head-heavy balance supports confident, driving strokes through the court. Built for players prioritizing precision and feel."
HSPTM6,"Forgiving 105-square-inch head offers maximum power and easy acceleration with arm-friendly sub-64 RA stiffness. Open 16x19 string pattern delivers easy spin; extended 27.4"" length boosts serve power. Fast, maneuverable frame suits beginner and intermediate players seeking forgiveness and power."
HSMPL6,"User-friendly, lightweight midplus with buttery 61 RA arm-friendly feel and excellent comfort. 16x19 string pattern enables easy targeting and spin; stable, connected feel at impact. Designed for improving intermediate players seeking controllable power and mechanical development."
HSMPUL,"Ultralight, highly maneuverable entry point to Speed franchise with buttery 61 RA arm-friendly stiffness and spin-friendly 16x19 string pattern. Easy learning curve with great feel and stable, connected impact response. Perfect for novice and early intermediate players building skills."
HSPELT,"Speedy, lightweight value racquet with sub-64 RA arm-friendly feel and easy targeting. Fast swingweight generates quick pace and spin while enabling quick court coverage at net and on returns. Suitable for beginner, intermediate, and recreational players seeking user-friendly performance."
HSPPL5,"Control-focused with stable, plush 61 RA feel and outstanding sound at impact; 18x20 string pattern delivers laser-like trajectory and exceptional command. Stable, connected feel through impact supports confident driving strokes. Built for players prioritizing precision and control with excellent feel."
HSMPL5,"Delivers buttery, connected feedback with a 60 RA stiffness and stable 325+ swingweight. The 16x19 string pattern offers moderate spin with controllable power suited for intermediate to advanced players. Hy-Bor and Auxetic 2 technologies create a more stable, responsive feel through impact."
HSPDP,"A versatile player's racquet with crisp feel and low, driving trajectory from its 18x20 string pattern. The 330+ swingweight delivers stability against heavy pace with good pop for experienced players seeking precision and control. Auxetic 2 and Graphene Inside provide a slightly softer, more responsive hitting experience."
HSPDM,"A comfortable, arm-friendly racquet with 325+ swingweight stability and easier access to spin and depth than the Pro model. Offers controllable power with responsive feel suited for intermediate to advanced players. Auxetic 2 and Graphene Inside enhance flexibility and overall response."
GXSMPR,"A light (11.1 oz), maneuverable player's racquet with whippy feel and 16x19 string pattern for explosive spin. Delivers impressive accuracy and precision with easy access to power, ideal for intermediate to advanced players seeking quick handling and high-level performance from baseline to net."
GXSS,"A fast, mobile racquet with near-even balance offering crisp response and controllable power. Delivers smooth acceleration, easy access to power, and good stability for its weight class, making it suitable for intermediates wanting solid precision and spin from all court areas."
HBOOP6,"A stable, powerful racquet with plush feel and sub-64 RA arm-friendly stiffness that delivers excellent ball feedback. The unique head shape creates a forgiving large sweetspot with spin-friendly response, suited for players seeking easy access to power and precision targeting."
HBOMP6,"A plush, spin-friendly racquet combining user-friendly speed with arm-friendly flexibility and a large forgiving sweetspot. Extremely maneuverable on groundstrokes and fast at net with good pop, making it one of the most comfortable options for its class."
HBOMPA,"A plush, spin-friendly racquet combining user-friendly speed with arm-friendly flexibility and a large forgiving sweetspot. Extremely maneuverable on groundstrokes and fast at net with impressive stability, making it one of the most comfortable options for its class."
HBMPL6,"A light, arm-friendly racquet with sub-64 RA stiffness delivering fast response and excellent maneuverability with a large sweetspot. Combines comfort, spin, and power in a speedy package ideal for rising intermediates seeking easy access to pace and spin without sacrificing feel."
BMPLA6,"A light, arm-friendly racquet with sub-64 RA stiffness delivering fast response and excellent maneuverability with a large sweetspot. Combines comfort, spin, and power in a speedy package ideal for intermediate players seeking easy access to pace and spin without sacrificing feel."
HBOT26,"Powerful 107in² head with arm-friendly stiffness and sub-315 swingweight for easy maneuverability. Delivers easy depth on medium strokes and blistering pace on full cuts with good spin potential. Light (under 10oz) and forgiving, suited for beginners, early intermediates, and doubles players seeking power and speed at net. Stable, connected feel through impact via Hy-Bor technology."
HBMTAL,"Powerful 107in² head with arm-friendly stiffness and sub-315 swingweight for easy maneuverability. Delivers easy depth on medium strokes and blistering pace on full cuts with good spin potential. Light (under 10oz) and forgiving, suited for beginners, early intermediates, and doubles players seeking power and speed at net. Stable, connected feel through impact via Hy-Bor technology."
HBMPUL,"Ultra-light racquet with easy power and spin featuring a forgiving teardrop head shape. Maximum maneuverability and ease of use ideal for beginners and early intermediates. Delivers raw speed at net for user-friendly volleying and arm-friendly comfort. Stable, connected feel through Hy-Bor technology."
BMPULA,"Ultra-light racquet with easy power and spin featuring a forgiving teardrop head shape. Maximum maneuverability and ease of use ideal for beginners and early intermediates. Delivers raw speed at net for user-friendly volleying and arm-friendly comfort. Stable, connected feel through Hy-Bor technology."
HBMELT,"Generous 107in² head with unique shape for comfort and power. Easy depth on medium strokes and blistering pace on full cuts with open string pattern for spin and launch angle. Light weight feels fast from all court areas, particularly at net. Arm-friendly comfort and easy serving."
HBOOMP,"Heaviest Boom model with surgical 98in² head delivering impressive power, control, and stability. Unique teardrop head shape creates forgiving contact zone with larger spin window. Effortless access to power and spin with comfortable modern player's feel. Suited for intermediate and advanced players."
HBOOMM,"At 11oz with sub-320 swingweight, offers explosive speed from baseline and quick handling at net. Unique teardrop head shape creates forgiving contact zone with larger spin window and easy power/spin access. Speedy, comfortable modern player's racquet suited for intermediate and advanced players."
XCEEDB,Ultra-light (under 10oz) with generous 107in² head for power and comfort. INNEGRA technology increases stability and decreases vibration for easy addressing of the ball. Maneuverable and luxurious feel suited for beginners and recreational players seeking improved comfort.
HGPRR,"Thinnest Gravity beam with traditional 18x20 pattern and 59-RA stiffness delivering laser-like trajectory and buttery feedback. 329 swingweight provides stability without sluggishness. Teardrop head shape creates larger, responsive contact area. Softer, more comfortable feel with outstanding control suited for traditional player's racquet seekers."
HGTRR,"Updated with surgical 98in² head and spin-friendly 16x19 pattern for higher launch angle and easier depth. Teardrop head shape delivers larger contact zone and bigger spin window in upper portion. Uniquely comfortable, responsive modern player's racquet with buttery feel and spin-friendly precision."
