,racquet_id,racquet_url,racquet_name,racquet_brand,racquet_img,racquet_rating,racquet_price,racquet_description,racquet_swingweight,racquet_composition,racquet_power_level,racquet_stroke_style,racquet_swing_speed,racquet_colors,racquet_grip_type,racquet_head_size_sq_in,racquet_length_in,racquet_strung_weight_oz,racquet_balance_in,racquet_balance_HH_HL,racquet_stiffness,racquet_avg_beam_width,racquet_mains,racquet_crosses,racquet_tension_lower,racquet_tension_upper
10,RCBAB-BAROPL,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Plus_2023/descpageRCBAB-BAROPL.html,Babolat Pure Aero Plus 2023,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BAROPL-1.jpg&nw=455,5.0,289.0,"Updated with a softer feel, the Pure Aero Plus hits a very heavy ball Babolat updates the feel and string bed of one of the game's best extended length racquets. It's called the Pure Aero Plus and it gives experienced ball strikers the ability to hit a very heavy ball. Like the standard Pure Aero, this stick combines a powerful tapered beam with a spin-friendly 16x19 string pattern. What separates it, however, is an extended 27.5"" length, which translates into extra pop on groundies and serves. For 2023, in addition to a softer, more arm-friendly flex point, Babolat adds comfort with NF² Technology which uses flax inserts in the handle and upper hoop to soften ball impact. Babolat also updates its FSI Spin technology with slightly tighter string spacing. The result is greater control (and confidence) when maximizing stroke speed in the service of power and spin. Ultimately, by combining impressive power with spin-friendly precision, Babolat has delivered a dangerous weapon to experienced players. The softer feel for 2023 is a nice touch.",334.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black,Babolat Syntec Pro,100.0,27.5,11.0,12.99,6.0,65.0,24.0,16.0,19.0,50.0,59.0
11,RCBAB-BAROTM,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Team_2023/descpageRCBAB-BAROTM.html,Babolat Pure Aero Team 2023,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BAROTM-1.jpg&nw=455,4.8,269.0,"Babolat updates this speedy spin monster with better feel Babolat adds another chapter to the Pure Aero Team! With this racquet, Babolat delivers a lighter, faster version of the standard Pure Aero. At 10.6 ounces strung and boasting a low swingweight, this stick moves through contact with remarkable ease, making it great for rising intermediates looking to play aggressive tennis. For this update Babolat updates the feel with NF ² Technology which includes flax inserts in the handle for a softer feel at impact. Comfort is further enhanced by SWX Pure Feel at 3/9 o'clock in the racquet's head.  This racquet also benefits from FSI Spin Technology , which features wider spacing between the crosses for a tighter grip on the ball. From the baseline, the Pure Aero Team feels explosive and accurate. Although it lacks the stability of the standard Pure Aero, this racquet's raw speed translates into very easy shot making . Ultimately, this update to the Pure Aero Team checks all the right boxes. The softer feel is a nice bonus.  Intermediate players looking to play aggressive tennis should start here.",302.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black,Babolat Syntec Pro,100.0,27.0,10.0,12.85,5.0,67.0,24.0,16.0,19.0,50.0,59.0
12,RCBAB-BAROL,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Lite_2023/descpageRCBAB-BAROL.html,Babolat Pure Aero Lite 2023,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BAROL-1.jpg&nw=455,4.5,269.0,"Updated with a softer feel, this light version of Pure Aero offers an easy learning curve to improving players Updated with a softer feel and wider string spacing for 2023, the Pure Aero Lite is the perfect racquet for dedicated beginners and early intermediate players. As the lightest member in the Pure Aero family, this racquet makes it easier for improving players to generate power and spin. For 2023, Babolat updates the feel with NF² Technology which includes flax inserts in the handle for a softer feel at impact. Comfort is further enhanced by SWX Pure Feel at 3/9 o'clock in the racquet's head. This racquet also benefits from FSI Spin Technology which features wider spacing between the crosses for a tighter grip on the ball. With some impressive updates to the feel and string bed, the Pure Aero Lite continues to be an obvious option for improving players who are looking to rise to next level.",304.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black,Babolat Syntec Pro,100.0,27.0,10.0,13.38,1.0,65.0,24.0,16.0,19.0,50.0,59.0
13,RCBAB-BPD25R,https://www.tennis-warehouse.com/Babolat_Pure_Drive_2025/descpageRCBAB-BPD25R.html,Babolat Pure Drive 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BPD25R-1.jpg&nw=455,4.9,299.0,"Born in 1994, the Babolat Pure Drive epitomizes the speed, power, and spin of the modern game The Pure Drive is popular for a reason. Boasting an appeal that cuts across ability levels, this modern player's racquet offers an unmistakably easy learning curve to virtually anyone looking to play aggressive tennis. Although it reserves its greatest charm for the baseliner who likes dictating action with heavy pace, it's also dangerous in the front court, where the quick handling and powerful response practically beg you to finish volleys with a bang. Serving is another strength of the Pure Drive, where surgically placed slices and kickers are as easy to hit as flat bombs down the T. For 2025, Babolat enhances comfort with an updated version of NF2 Tech, a dampening technology that uses flax fibers in the throat to smooth out harsh vibrations. This model also inherits FSI Power from the previous generation, consisting of a bundle of technologies that enable the racquet to transfer more energy to the ball (think easy power). Other features include Babolat's HTR System, a layup construction that stiffens the hoop in a way that not only enhances power but also creates more stability and less frame wobble on off-center impact (think rebound control). Ultimately, for the player who wants a lightning-fast racquet with easy access to power and spin, there are few better options than the Pure Drive. The fact that this generation is softer and more comfortable than previous versions is a very nice bonus . This model is version 11",317.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,100.0,27.0,11.0,12.99,4.0,69.0,24.0,16.0,19.0,46.0,55.0
14,RCBAB-PD98R,https://www.tennis-warehouse.com/Babolat_Pure_Drive_98_2025/descpageRCBAB-PD98R.html,Babolat Pure Drive 98 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=PD98R-1.jpg&nw=455,4.7,309.0,"Power meets precision Originally launched in 2019 under the VS moniker, the Pure Drive 98 is defined by its controllable power. In addition to offering the most compact and surgical head size in the Pure Drive family, this stick gets updated with a tighter 16x20 string pattern, giving players the needed control to swing bigger when loading the ball with pace and spin. For 2025, Babolat adds comfort with an updated version of NF2 Tech, a dampening technology that uses flax fibers in the throat to smooth out harsh vibrations (a welcome feature, considering the stiff beam). This model also inherits FSI Power from the previous generation, consisting of a bundle of technologies that enable the racquet to transfer more energy to the ball (think easy power). Other features include Babolat’s HTR System, a layup construction that stiffens the hoop in a way that not only enhances power but creates more stability and less frame noodling on off-center impact (think rebound control). In addition to its enhanced dampening, the 2025 Pure Drive 98 continues to offer an irresistible combination of speed, power, spin, and precision. Stiffness and swingweight updated on 1.21.25",326.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,98.0,27.0,11.0,13.18,3.0,69.0,21.666666666666668,16.0,20.0,46.0,55.0
15,RCBAB-PD98D,https://www.tennis-warehouse.com/Babolat_Pure_Drive_98_2-Pack_2025/descpageRCBAB-PD98D.html,Babolat Pure Drive 98 2-Pack 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=PD98D-1.jpg&nw=455,5.0,619.0,"Power meets precision This product is for 2 Pure Drive 98 racquets. Originally launched in 2019 under the VS moniker, the Pure Drive 98 is defined by its controllable power. In addition to offering the most compact and surgical head size in the Pure Drive family, this stick gets updated with a tighter 16x20 string pattern, giving players the needed control to swing bigger when loading the ball with pace and spin. For 2025, Babolat adds comfort with an updated version of NF2 Tech, a dampening technology that uses flax fibers in the throat to smooth out harsh vibrations (a welcome feature, considering the stiff beam). This model also inherits FSI Power from the previous generation, consisting of a bundle of technologies that enable the racquet to transfer more energy to the ball (think easy power). Other features include Babolat’s HTR System, a layup strategy that stiffens the hoop in a way that not only enhances power but creates more stability and less frame noodling on off-center impact (think rebound control). In addition to its enhanced dampening, the 2025 Pure Drive 98 continues to offer an irresistible combination of speed, power, spin, and precision.",323.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,98.0,27.0,11.0,13.18,3.0,69.0,21.666666666666668,16.0,20.0,46.0,55.0
16,RCBAB-BPDP25,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Plus_2025/descpageRCBAB-BPDP25.html,Babolat Pure Drive Plus 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BPDP25-1.jpg&nw=455,4.1,299.0,"One of the games most powerful and spin-friendly weapons gets updated with enhanced dampening for 2025 Babolat adds another chapter to one of the game’s most dangerous players’ racquets. With its extended length, powerful beam construction, and open string pattern, the Pure Drive Plus gives aggressive players the ability to overwhelm their opponents with heavy pace. In addition to giving you extra leverage on groundies, this racquet’s extended length translates into an unmistakable boost in power on serves. Although not as nimble as the standard Pure Drive at net, this extended-length racquet comes around surprisingly fast in the front court, making it a formidable all-court weapon. For 2025, Babolat adds its NF2 Tech 2.0, which uses flax fibers in the throat to dampen harsh vibrations (a welcome feature, considering the stiff beam). This model also inherits FSI Power from the previous generation, consisting of a bundle of technologies that enable the string bed to transfer more energy to the ball. Other features include Babolat’s HTR System, a layup strategy that stiffens the hoop in a way that not only enhances power but creates more stability and less frame noodling on off-center impact (think rebound control). Ultimately, this update keeps a good thing going. Although you’ll appreciate the enhanced dampening and comfort, the star of the show remains its dangerous combination of power and spin.",325.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,100.0,27.5,11.0,13.0,6.0,69.0,24.0,16.0,19.0,46.0,55.0
18,RCBAB-BRPTR,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Team_2025/descpageRCBAB-BRPTR.html,Babolat Pure Drive Team 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BRPTR-1.jpg&nw=455,5.0,279.0,"Perfect for the rising intermediate players looking to master the mechanics of pace and spin The Pure Drive Team 2025 is defined by its user-friendly speed, easy power, and spin-friendly targeting. At only 10.6 ounces strung and boasting a sub-315 swingweight, this racquet, though not as stable as the standard Pure Drive, makes it easier for less advanced players to address the ball with confidence. It's also quite powerful, enabling players to overwhelm their opponents with higher levels of pace. For 2025, Babolat adds enhanced dampening with an updated version of NF2 Tech, a material technology that uses flax fibers in the throat and head to smooth out harsh vibrations (a welcome feature, considering the stiff beam). This model also inherits FSI Power from the previous generation, consisting of a bundle of technologies that enable the racquet to transfer more energy to the ball (think easy power). Other features include Babolat’s HTR System, a layup strategy that stiffens the hoop to further enhance power. Intermediate players looking for a light option with explosive power and spin-friendly targeting will love this one.",308.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,100.0,27.0,10.0,12.85,5.0,69.0,24.0,16.0,19.0,44.0,53.0
19,RCBAB-BPDLR,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Lite_2025/descpageRCBAB-BPDLR.html,Babolat Pure Drive Lite 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BPDLR-1.jpg&nw=455,4.4,279.0,"Updated with enhanced dampening for 2025, the Pure Drive Lite remains the perfect entry point into the world of aggressive tennis With the 2025 Pure Drive Lite , Babolat delivers an easy learning curve to dedicated beginners, early intermediates, and juniors. Like previous versions, this racquet puts the speed, power, and spin of the standard Pure Drive into a lighter, more user-friendly package. On virtually every stroke, this racquet's maneuverability and easy targeting translate into confidence. For 2025, Babolat adds comfort with an updated version of NF2 Tech, a dampening technology that uses flax fibers in the throat and head to smooth out harsh vibrations (a welcome feature, considering the stiff beam). This model also inherits FSI Power from the previous generation, consisting of a bundle of technologies that enable the racquet to transfer more energy to the ball (think easy power). Other features include Babolat’s HTR System, a layup strategy that stiffens the hoop to further enhance power. Ultimately, with some nice updates to the comfort, the 2025 Pure Drive Lite checks all the right boxes. Rising players looking to develop into aggressive ball strikers will find this one perfect.",,,,,,,,,,,,,,,,,,
20,RCBAB-BPDSLR,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Super_Lite_2025/descpageRCBAB-BPDSLR.html,Babolat Pure Drive Super Lite 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BPDSLR-1.jpg&nw=455,,269.0,Introducing the perfect entry point into the world of aggressive tennis,295.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Lite,100.0,27.0,9.0,13.19,2.0,68.0,24.0,16.0,19.0,44.0,53.0
21,RCBAB-BPD17R,https://www.tennis-warehouse.com/Babolat_Pure_Drive_107_2025/descpageRCBAB-BPD17R.html,Babolat Pure Drive 107 2025,Babolat,https://img.tennis-warehouse.com/watermark/rs.php?path=BPD17R-1.jpg&nw=455,4.9,279.0,"Babolat adds another chapter to the most powerful Pure Drive Updated with enhanced vibration dampening for 2025, the Pure Drive 107 specializes in effortless power. With its light weight, forgiving head size, and generous margin of error, this racquet makes it easy for beginners and early intermediate players to address the ball with confidence. It's also a great option for the aging doubles veteran looking for big power on serves and lightning speed at net. For 2025, Babolat ups the comfort with an updated version of NF 2.0 Tech , a dampening technology that uses flax fibers in the throat and head to smooth out harsh vibrations (a welcome feature, considering the stiff beam). This model also inherits FSI Power from the previous generation, consisting of a bundle of technologies that enable the racquet to transfer more energy to the ball (think easy power). Other features include Babolat’s HTR System, a layup strategy that stiffens the hoop to further enhance power. Ultimately, this update to the Pure Drive 107 keeps a good thing going. Players looking for user-friendly speed and ultra-easy access to power will not be disappointed. The enhanced vibration dampening for 2025 is a nice touch.",307.0,Graphite,Medium,Medium,Medium,Blue,Babolat Syntec Pro,107.0,27.2,10.0,12.99,5.0,69.0,24.0,16.0,19.0,44.0,53.0
